occu_isco_2008,demand_total_tru2,exposed_demand_p80
4110,57192.8261,57192.8261
2512,49271.2072,49271.2072
1221,25798.1114,25798.1114
2411,16992.310699999998,16992.310699999998
2423,12720.6573,12720.6573
2412,12219.8399,12219.8399
3321,10101.8257,10101.8257
2142,8311.4553,8311.4553
2421,8053.7932,8053.7932
2514,7699.2181,7699.2181
4312,7332.3727,7332.3727
2413,6043.9556999999995,6043.9556999999995
4416,5743.675,5743.675
2611,5616.5275,5616.5275
2310,4641.3572,4641.3572
2619,4634.5033,4634.5033
1212,4248.5398,4248.5398
2634,4111.5871,4111.5871
2145,3983.151,3983.151
2521,3818.5957,3818.5957
1211,3495.6574,3495.6574
2529,3389.7961999999998,3389.7961999999998
2120,3302.2187,3302.2187
1222,3076.3263,3076.3263
3311,2109.8276,2109.8276
