occ_decile,demand_tru2,postings_tru1,avg_demand_per_posting
1,189398.437,165898.3595,1.14165346523514
2,152882.5826,134963.0251,1.132773828140875
3,224080.4256,197206.4427,1.136273351580516
4,107052.571,102932.7069,1.0400248300474841
5,150426.6812,138628.2958,1.0851080606012904
6,127588.3363,123519.5662,1.0329402881274043
7,147272.3398,142288.8359,1.0350238574128356
8,170598.9704,160960.0493,1.0598839348143763
9,102198.0783,99556.4846,1.0265336176805906
10,132958.67,127036.5331,1.0466175890941407
