loca_regi_kant_label,demand_total_tru2,postings_total_tru1,mean_occ_exp_tru2,exposed_demand_p80,exposed_demand_p90,high_share_total_p80,high_share_known_p80,coverage_share,high_share_total_p90,high_share_known_p90
AG,114463.6567,107260.5413,0.18724772528118833,18586.9326,7690.7121,0.16238283081165972,0.1776954381955759,0.9138266714136872,0.06718911767913141,0.07352501276329575
AI,1844.8974,1756.5773,0.06220216810630305,20.8,14.4,0.011274339700408273,0.011560543287731807,0.9752430677174785,0.007805312100282649,0.00800345304535279
AR,7546.2278,7309.7552,-0.045416531496181196,666.6285,393.9029,0.08833930245254458,0.09293650704581541,0.9505339210671592,0.05219864950273566,0.054915083350347484
BE,214836.4857,202813.5941,0.19627229998387904,34507.9438,17078.3202,0.16062422398859785,0.17701379061709113,0.9074107922814528,0.07949450552755899,0.08760586297159895
BL,41867.1915,40133.664,0.36863633512113336,7617.8519,2361.3148,0.1819527803769689,0.196000095948775,0.9283300576777404,0.05640012418793365,0.06075438764637344
BS,81362.2731,75645.2685,0.4871622223582935,16166.1752,8372.2792,0.19869375060515607,0.21855785632817387,0.9091128268883137,0.1029012450243355,0.11318864059650663
FR,30231.6705,30643.1122,0.2805153388448979,5304.0111,2244.5817,0.17544551830174251,0.19022264262071478,0.9223166910343245,0.07424603612294597,0.08049950396070937
GE,62426.6412,52345.4166,0.5120410971457907,16558.9553,10948.429,0.2652546249757227,0.28357389894532986,0.9353985890882753,0.1753807155013171,0.18749302975992205
GL,7440.0072,6705.2458,-0.11137274727330511,492.1169,225.236,0.06614468061267467,0.06850792932908469,0.9655040118778381,0.030273626616920478,0.03135525719674679
GR,37641.555,36122.5878,0.1053033062108889,4411.6317,1809.5436,0.11720110128287739,0.12553195440941864,0.9336355976792138,0.04807302992663295,0.051490142456147296
JU,4629.1868,3838.9411,0.1778248312245287,783.5107,366.4608,0.1692545005960874,0.17565386004230565,0.9635683528692339,0.07916310484597423,0.08215619017607718
LU,75143.1916,71584.2586,0.15614423337707894,11493.569,5407.9437,0.152955560647227,0.1654205144282149,0.9246468684729117,0.07196851218121536,0.07783351097059789
NE,21811.0062,16315.6878,0.25822714877763564,3466.2282999999998,1804.0765,0.15892106343998014,0.18312727307077586,0.8678175608422869,0.0827140427845094,0.09531270916461837
NW,4502.7523,4350.1626,0.06484826209537436,440.779,192.73170000000002,0.0978910165678001,0.10774831902902993,0.9085154872942933,0.042803087347265366,0.04711321705119184
OW,9627.9513,8429.1408,-0.31877044523929965,335.34000000000003,117.2321,0.03482983965654251,0.036087052896491244,0.9651616538608789,0.012176224863123268,0.012615736249378992
SG,102898.7556,97995.3784,-0.041858044156168665,11862.6814,5481.4807,0.11528498406835931,0.13239204388537687,0.8707848348362339,0.05327062186551846,0.0611754129543803
SH,16150.284,15079.8088,0.05757091780694354,2053.4146,947.3569,0.1271441790125796,0.14384778387090696,0.8838799986427484,0.05865883844519391,0.06636516103460666
SO,62468.295,58998.7676,0.18785352558302856,8029.7861,4730.8822,0.1285417842763277,0.13999414889067582,0.9181939766404702,0.0757325327992384,0.08247988412680732
SZ,20501.1571,19602.2984,0.1372886330634206,2586.6949,1704.6100000000001,0.12617311732126574,0.13345523613788976,0.9454339969913212,0.08314701417511698,0.08794586871184858
TG,41416.6038,40111.7929,0.07704390482815605,5861.0379,2357.7208,0.14151420836683865,0.1559577215267586,0.907388277935044,0.05692694677200935,0.06273714148209936
TI,15822.2707,13510.9022,0.3586411746789996,3595.2529,1623.3724,0.22722736629705118,0.25917515907819977,0.8767328130721465,0.102600469349826,0.11702592605186661
UR,6038.8033,6088.3162,0.20427954890969227,425.8578,236.3242,0.07052023039068023,0.07465418966767422,0.9446252206956305,0.03913427681938241,0.04142836329371301
Unknown,99657.4655,82244.3879,0.36660786498705145,22980.5363,12148.1584,0.2305952312222911,0.24678668813110913,0.9343908821361707,0.12189913057742774,0.13045839049579158
VD,90278.5655,78486.2606,0.3986266101461067,19356.3109,9691.1566,0.21440649608017975,0.22934457783664366,0.9348662091889353,0.10734725952197369,0.1148263339361739
VS,37749.558,32456.2682,0.1411093584705074,4796.16,1952.7464,0.12705208362969442,0.13968076664638715,0.9095889626045421,0.05172898713145198,0.05687072871171366
ZG,29456.9667,27962.2388,0.5610760810458417,8031.2313,3843.9769,0.2726428481857231,0.290035641757224,0.940032219950196,0.1304946615565818,0.1388193497915375
ZH,400333.4279,379496.352,0.4639245497351485,92959.9225,54430.7273,0.23220624614745042,0.2506134181674552,0.9265515304224237,0.1359634832032971,0.1467414156029833
