loca_regi_kant_label,demand_total_tru2,postings_total_tru1,mean_ind_exp_tru2,exposed_demand_p80_ind,exposed_demand_p90_ind,high_share_total_p80_ind,high_share_known_p80_ind,coverage_share_ind,high_share_total_p90_ind,high_share_known_p90_ind
AG,114463.6567,107260.5413,0.19192354845259546,20395.3358,7799.1381,0.1781817599402274,0.18748172180977735,0.9503953677202416,0.06813637031045505,0.07169265826063209
AI,1844.8974,1756.5773,0.46366415549249107,419.9755,12.0,0.2276416563869622,0.22764165638696224,0.9999999999999999,0.006504426750235541,0.006504426750235542
AR,7546.2278,7309.7552,0.15563992581511188,593.0569,96.8104,0.07858984855983278,0.08831297904543008,0.889901455134975,0.012828979268290842,0.014416179672776261
BE,214836.4857,202813.5941,0.1471934372780958,37481.4342,15314.0363,0.17446493819648254,0.18574273158955376,0.9392827202628181,0.07128228824867619,0.07589013053357448
BL,41867.1915,40133.664,0.31042816365059,10512.061,7792.6301,0.25108111204449907,0.2586985224551131,0.9705548746922754,0.18612736658010606,0.19177418138167582
BS,81362.2731,75645.2685,0.36444260697177566,14015.2357,9588.697,0.17225717972228086,0.1754638245912875,0.9817247522304045,0.11785188189389462,0.12004574767636657
FR,30231.6705,30643.1122,0.13702957884117364,5223.1323,1149.7428,0.17277021790774016,0.18475552669972686,0.9351288212803195,0.03803107076071102,0.04066933869992508
GE,62426.6412,52345.4166,0.3801285098276824,14991.4594,9167.662,0.2401452186410439,0.25315079237670635,0.948625190489986,0.146854961660183,0.1548082036323842
GL,7440.0072,6705.2458,0.01910110493512336,1380.8777,239.8431,0.18560166178333806,0.1904629026714436,0.9744767048074899,0.032236944609408444,0.033081288090695736
GR,37641.555,36122.5878,-0.10750887934812221,2468.97,1079.6392,0.06559160481016259,0.07104328078024298,0.923262609634485,0.028682109439952735,0.031066035969232887
JU,4629.1868,3838.9411,0.14495527880017003,879.2874,218.4475,0.18994424679513905,0.22263219745229462,0.8531750976218976,0.04718917370109151,0.05531006921395681
LU,75143.1916,71584.2586,-0.014856116972071254,12307.2173,5353.29,0.16378353165398418,0.17014921715038933,0.9625876298285949,0.07124118481014852,0.07401007721534321
NE,21811.0062,16315.6878,0.24572608187548597,3768.0555,748.1725,0.17275936128063638,0.2002616437236797,0.8626682477399873,0.03430252108222316,0.03976328231865341
NW,4502.7523,4350.1626,-0.22156447058081488,337.2302,210.5897,0.07489423746449478,0.08157404455401718,0.9181135724476781,0.046769106086515126,0.05094043644494802
OW,9627.9513,8429.1408,-0.889625454181952,312.7518,0.0,0.032483733065828864,0.034029929692230516,0.9545636255970674,0.0,0.0
SG,102898.7556,97995.3784,-0.1146649377986751,9551.3421,5287.019,0.09282271728463934,0.09710790167090776,0.9558719289312766,0.051380786571922354,0.05375279367118691
SH,16150.284,15079.8088,0.0027787907272213423,1713.5776,745.0894000000001,0.10610201034235683,0.10748295097145259,0.9871520030236001,0.0461347552773685,0.04673520910261025
SO,62468.295,58998.7676,0.20070387913572701,9462.320600000001,4002.1588,0.15147396931515422,0.15975905503887117,0.9481401181191195,0.06406704072842072,0.06757127929099153
SZ,20501.1571,19602.2984,0.21416931967427033,4165.7396,1601.7511,0.20319534061811564,0.23752286279080045,0.855476976955608,0.07812979004975285,0.09132892193989123
TG,41416.6038,40111.7929,-0.009160466236412925,5210.6281,2023.2087999999999,0.12581012497214947,0.1296076978269409,0.9706994806754291,0.0488501860212884,0.050324726646909936
TI,15822.2707,13510.9022,0.24926145643788017,3489.4113,1751.0753,0.2205379598264616,0.22795453440825825,0.9674646762300686,0.11067155487359978,0.11439338054682781
UR,6038.8033,6088.3162,-0.19980383844694818,170.7991,33.9643,0.028283600494157513,0.028948903830760153,0.9770180128238323,0.0056243428230225686,0.005756641893189643
Unknown,99657.4655,82244.3879,0.22038544147315328,22326.7711,13651.8164,0.22403510853885805,0.2433490885254291,0.9206326183360541,0.13698739308195632,0.14879702321382712
VD,90278.5655,78486.2606,0.35634771197695064,22994.9736,7857.5644,0.2547113312295597,0.26910501611026916,0.9465127588895949,0.08703687698715151,0.09195531298411568
VS,37749.558,32456.2682,-0.019224701433722544,6874.1838,1275.5101,0.18209971624038618,0.18658733354023146,0.9759489713760358,0.03378874263905289,0.034621423486324875
ZG,29456.9667,27962.2388,0.20221496481801443,4874.8557,2997.5253,0.16549075638531377,0.1811625721406535,0.913493082096603,0.10175946934821363,0.11139599340441689
ZH,400333.4279,379496.352,0.41920306758588655,107998.3786,59907.003,0.2697710734937106,0.28154409534886493,0.9581840924755811,0.149642769813777,0.15617329800076032
