section_code,section_label,demand_total_tru2,postings_total_tru1,n_ads,mean_sec_exp_tru2
K,Financial and insurance activities,96963.2998,92358.282,4438,2.072848153846154
P,Education,66308.8791,62208.8672,2925,1.1862854428571432
J,Information and communication,90902.341,88618.7283,2553,1.1771462249999995
M,"Professional, scientific and technical activities",164425.5273,158335.8369,4131,1.0473557260869566
L,Real estate activities,14723.8277,14469.7835,561,0.9475425749999998
Q,Human health and social work activities,209411.7959,184823.8547,8222,0.6271384727272725
G,Wholesale and retail trade; repair of motor vehicles,231164.6441,216622.6414,7005,0.12015324719999998
S,Other service activities,31268.5622,28422.65,1058,0.09994082000000001
O,Public administration and defence; compulsory social security,43741.5326,39917.2254,2983,-0.06395094999999994
N,Administrative and support service activities,31162.4703,27547.8435,1312,-0.0792861738095238
R,"Arts, entertainment and recreation",8916.6844,7491.1904,468,-0.14435774545454544
C,Manufacturing,276762.2627,261290.6626,11496,-0.4504258140306124
H,Transportation and storage,62305.0081,57961.7257,2438,-0.5259826270833332
DE,"Electricity, gas, water supply; sewerage, waste management",24200.1723,23039.6806,982,-0.6259457333333335
I,Accommodation and food service activities,73621.2419,68061.0685,2152,-0.9862055454545456
AB,"Agriculture, forestry, fishing and mining",5606.3021,4378.4785,359,-1.0345610360000002
F,Construction,123097.7805,108705.1626,4047,-1.1284419250000002
T,Activities of households as employers,21911.0106,19245.5574,927,
U,Activities of extraterritorial organisations,61653.5048,53787.4865,1737,
