occu_isco_2008,demand_tru2,postings_tru1,mean_exp,high_exp_demand,high_exp_share,impact_score
4110,57192.8261,51161.9399,1.2383682999999999,57192.8261,1.0,70825.78282965261
2512,49271.2072,49468.7148,1.2421154999999982,49271.2072,1.0,61200.53016683151
4419,35169.4216,33775.3562,0.9943220499999994,0.0,0.0,34969.73138262626
1221,25798.1114,25735.9162,1.2906560000000031,25798.1114,1.0,33296.48726707848
2511,21811.4878,21883.8628,1.176209499999999,0.0,0.0,25654.879159494078
2431,21062.5974,21054.6045,1.2073422000000014,0.0,0.0,25429.762682630306
2411,16992.310699999998,16307.398,1.4262179999999969,16992.310699999998,1.0,24234.739381932544
3322,21331.1165,18849.7015,1.0831338999999998,0.0,0.0,23104.455405999346
3313,17010.0451,17036.0464,1.0397489999999994,0.0,0.0,17686.17738267989
2412,12219.8399,10885.9884,1.3906819999999984,12219.8399,1.0,16993.911391811784
2423,12720.6573,11855.043,1.2774494249999975,12720.6573,1.0,16249.996353507022
3118,30775.438,29705.4185,0.5263789500000006,0.0,0.0,16199.542740230116
3321,10101.8257,8815.4218,1.3280349999999983,10101.8257,1.0,13415.578093499482
2221,55805.4363,49409.008,0.22026200000000024,0.0,0.0,12291.817010310613
2161,11652.1492,11064.8712,1.0471419999999994,0.0,0.0,12201.454817586393
3334,10671.7014,10711.0982,1.1365541249999942,0.0,0.0,12128.966246938213
4311,9912.738,9117.0339,1.1866019999999988,0.0,0.0,11762.474736275988
2421,8053.7932,7952.7909,1.3648600000000009,8053.7932,1.0,10992.300186952007
2144,11428.9562,12115.1445,0.9579069749999982,0.0,0.0,10947.876860949475
2341,9817.6218,11335.5087,1.0866970500000002,0.0,0.0,10668.780648075692
2142,8311.4553,7998.9018,1.2828670000000002,8311.4553,1.0,10662.4917263451
2433,9564.7763,9373.5457,1.1036967499999994,0.0,0.0,10556.61251678702
2141,8704.4141,8321.8765,1.1378699999999997,0.0,0.0,9904.491671966998
2514,7699.2181,7462.5758,1.2715059999999994,7699.2181,1.0,9789.602009458595
2330,7986.1217,8247.8533,1.1913250000000004,0.0,0.0,9514.066434252503
4312,7332.3727,6882.406,1.2729534,7332.3727,1.0,9333.76875853218
3343,9488.1969,9204.0956,0.9574445000000008,0.0,0.0,9084.421936822058
2413,6043.9556999999995,6010.6425,1.4173156666666655,6043.9556999999995,1.0,8566.193102249292
4416,5743.675,5727.0083,1.3530980000000012,5743.675,1.0,7771.755155150007
2611,5616.5275,5033.8178,1.328783,5616.5275,1.0,7463.146261032501
4120,6788.6831,6530.3038,1.0990560000000014,0.0,0.0,7461.142893153609
3323,6931.4538,6851.095,1.032237400000001,0.0,0.0,7154.905848732127
2151,6269.0524000000005,6221.508,1.1267250000000015,0.0,0.0,7063.49806539001
2619,4634.5033,4554.424,1.4315930000000014,4634.5033,1.0,6634.722482756907
1120,6933.0278,6886.8132,0.9545616499999995,0.0,0.0,6618.002456263866
4323,5303.0661,4518.6014,1.2345229999999998,0.0,0.0,6546.757070970299
3412,13839.565,12059.2338,0.4652254999999991,0.0,0.0,6438.518546907488
1324,6665.0497000000005,6575.7393,0.8907923000000014,0.0,0.0,5937.1749518773195
4226,5780.4578,5202.7469,1.0131859999999997,0.0,0.0,5856.678916550798
2634,4111.5871,3462.8513,1.4162299999999994,4111.5871,1.0,5822.952998632997
2310,4641.3572,3989.5263,1.239840074285714,4641.3572,1.0,5754.540655634534
2131,6286.6262,5649.5542000000005,0.9014893333333335,0.0,0.0,5667.326461953868
1212,4248.5398,4279.027,1.3010249999999999,4248.5398,1.0,5527.456493294999
2145,3983.151,4079.5496,1.3413359999999996,3983.151,1.0,5342.743829735999
2212,10884.0664,10310.5449,0.4908406399999995,0.0,0.0,5342.342117578491
1211,3495.6574,3495.6574,1.4462319999999984,3495.6574,1.0,5055.531592916795
2521,3818.5957,3657.823,1.2848629999999996,3818.5957,1.0,4906.372326889098
2120,3302.2187,3202.8701,1.4396134000000012,3302.2187,1.0,4753.918290250584
3411,5589.3263,5485.941,0.8335612999999991,0.0,0.0,4659.046096752185
3112,30117.8606,29451.1366,0.15467016000000006,0.0,0.0,4658.334317859698
