loca_regi_kant_clean,demand_tru2,mean_exp,high_exp_demand,high_exp_share
1,400333.4279,0.4639245497351485,90939.9977,0.2271606400120953
2,214836.4857,0.19627229998387904,33334.7247,0.15516323771255955
3,75143.1916,0.15614423337707894,10982.0253,0.1461479751679858
4,6038.8033,0.20427954890969227,425.8578,0.07052023039068023
5,20501.1571,0.1372886330634206,2477.2605,0.12083515520204466
6,9627.9513,-0.31877044523929965,299.7515,0.031133466576632976
7,4502.7523,0.06484826209537436,403.6335,0.08964150659586582
8,7440.0072,-0.11137274727330511,480.0955,0.06452890260643834
9,29456.9667,0.5610760810458417,7417.8827,0.25182099621954623
10,30231.6705,0.2805153388448979,5234.014,0.17313016162967243
11,62468.295,0.18785352558302856,7916.8933,0.12673458271912175
12,81362.2731,0.4871622223582935,15650.1825,0.19235183462444339
13,41867.1915,0.36863633512113336,6594.8438,0.15751817983778538
14,16150.284,0.05757091780694354,1990.5537,0.1232519316688177
15,7546.2278,-0.045416531496181196,632.8788,0.08386690897404396
16,1844.8974,0.06220216810630305,20.8,0.011274339700408273
17,102898.7556,-0.041858044156168665,11499.2492,0.11175304436820614
18,37641.555,0.1053033062108889,3775.3064,0.10029623909001634
19,114463.6567,0.18724772528118833,17211.8889,0.15036990251946059
20,41416.6038,0.07704390482815605,5625.5365,0.13582804923275724
21,15822.2707,0.3586411746789996,3419.843,0.21614110040476048
22,90278.5655,0.3986266101461067,18875.7723,0.20908365341715582
23,37749.558,0.1411093584705074,4715.2185,0.12490791282907207
24,21811.0062,0.25822714877763564,3449.7927,0.15816751727850134
25,62426.6412,0.5120410971457907,16071.2698,0.25744248755129245
26,4629.1868,0.1778248312245287,763.7701,0.16499012310326294
