comp_indu_noga,demand_tru2,postings_tru1,mean_exp,high_exp_demand,high_exp_share,impact_score,n_ads
21,96390.5839,85354.4148,0.12862043333333334,96390.5839,1.0,12397.798670471024,3237
51,61653.5048,53787.4865,-0.09951442,61653.5048,1.0,-6135.412771139217,1737
45,49867.4249,43310.6679,-0.08843436111111112,49867.4249,1.0,-4409.993861287814,1514
18,24200.1723,23039.6806,-0.08492830000000001,24200.1723,1.0,-2055.2794931460903,982
6,19244.5703,17447.2603,0.6686154,19244.5703,1.0,12867.21606896262,785
46,17479.4833,13912.441,0.2887353557692308,17479.4833,1.0,5046.944829287829,443
49,11025.0506,9801.6806,-0.11150409999999998,11025.0506,1.0,-1229.33834460746,513
26,9938.449,9238.9316,0.7901558666666667,9938.449,1.0,7852.923782917467,288
47,8916.6844,7491.1904,0.029031561818181832,8916.6844,1.0,258.8652743718176,468
35,7319.281,7262.4956999999995,-0.065023125,7319.281,1.0,-475.922523373125,231
1,5606.3021,4378.4785,-1.9621046000000002,0.0,0.0,-11000.15113939966,359
2,18587.4235,16931.2629,-1.3601609999999997,0.0,0.0,-25281.888535183498,977
3,7491.6434,7235.1519,-1.258223,0.0,0.0,-9426.1580336782,289
4,12361.7932,11953.3618,,0.0,0.0,,325
5,9126.758100000001,8683.0817,-0.5412895333333333,0.0,0.0,-4940.21863279522,305
7,21451.2498,20411.6707,-0.8924031999999998,0.0,0.0,-19143.163965519358,1072
8,10010.2696,9520.4826,-1.0072343166666666,0.0,0.0,-10082.687060205106,285
9,8063.0697,7830.5543,-1.0225682,0.0,0.0,-8245.03866960354,397
10,5231.4655,4974.2546,-0.9639388290322581,0.0,0.0,-5042.812728192657,218
11,19332.6856,18499.2555,-0.67103964,0.0,0.0,-12972.998385257186,850
12,24845.2926,23018.6207,-0.8843057,0.0,0.0,-21970.83386434782,646
13,37343.2501,35145.6413,-0.6452913347826087,0.0,0.0,-24097.275702149786,1621
14,17841.0881,17390.0196,-0.7315374111111111,0.0,0.0,-13051.423400079253,536
15,41626.596,39095.0276,-0.6040304166666666,0.0,0.0,-25143.730126294995,2057
16,4588.2835000000005,4379.3931,-0.9917948846153846,0.0,0.0,-4550.636104465173,250
17,19616.8237,18775.624,-0.64109755,0.0,0.0,-12576.297612851937,883
19,19091.7561,16861.4142,-0.25198960000000004,0.0,0.0,-4810.923982936561,527
20,7615.4405,6489.3336,-0.2633564461538462,0.0,0.0,-2005.5753459760695,283
22,25606.2934,22397.432,-0.7135245611111112,0.0,0.0,-18270.719259917343,878
23,63259.0955,62220.1317,-0.734672175,0.0,0.0,-46474.69727951772,1656
24,142299.2552,132005.0777,-0.9047726199999998,0.0,0.0,-128748.46995135261,4471
25,22429.5099,19579.5507,-0.5680944147058823,0.0,0.0,-12742.079298780292,962
27,15597.1818,17034.3386,-0.12439562173913041,0.0,0.0,-1940.2211273892492,706
28,14339.8674,12108.9048,-0.18536159666666666,0.0,0.0,-2658.060717252282,482
29,19395.5887,18855.2013,-0.5553592307692307,0.0,0.0,-10771.519220748383,288
30,54225.6532,49205.8672,-0.132159624,0.0,0.0,-7166.441938066397,1864
31,28163.8821,29027.8664,-0.91716482,0.0,0.0,-25830.921856747722,660
32,62738.4589,59590.8619,-0.16302715624999997,0.0,0.0,-10228.072541974501,1893
33,54843.9067,53028.7561,-0.579216138095238,0.0,0.0,-31766.475836829548,2527
34,34800.1121,32067.0302,,0.0,0.0,,1680
36,14723.8277,14469.7835,-0.15642260000000002,0.0,0.0,-2303.13941078602,561
37,16349.1446,14666.688,-0.5788288999999999,0.0,0.0,-9463.357384758938,275
38,18428.0581,18123.4947,-1.0754418166666666,0.0,0.0,-19818.30428070288,296
39,115469.9301,112374.8064,-0.7835333000000001,0.0,0.0,-90474.53538202234,2751
40,14178.3945,13170.8478,,0.0,0.0,,809
41,31162.4703,27547.8435,-0.7117375499999999,0.0,0.0,-22179.500263269765,1312
42,43741.5326,39917.2254,-0.9336955999999998,0.0,0.0,-40841.27652587655,2983
43,66308.8791,62208.8672,-1.2805669647058824,0.0,0.0,-84912.96004213633,2925
44,142064.8877,127600.7458,,0.0,0.0,,6265
48,20243.5116,18620.9694,,0.0,0.0,,545
