region,rank,indu_code,exposed_demand_tru2
ZH,1,33,14119.7416
ZH,2,39,9066.0623
ZH,3,32,8471.2451
ZH,4,34,6883.3695
ZH,5,38,4802.6126
BE,1,32,3681.342
BE,2,39,3030.8232000000003
BE,3,43,2308.3862
BE,4,34,2053.7565
BE,5,42,1821.0504
Unknown,1,32,2480.9928
Unknown,2,33,2111.5802
Unknown,3,38,2087.7068
Unknown,4,39,1943.5773
Unknown,5,51,1893.5052
VD,1,32,2514.85
VD,2,39,1812.897
VD,3,34,1516.6593
VD,4,33,1486.9525
VD,5,43,1389.9126
AG,1,32,2401.3766
AG,2,24,1964.0604
AG,3,34,1049.8102
AG,4,39,853.4089
AG,5,33,790.376
