region,rank,occ_code,exposed_demand_tru2
ZH,1,2512,14520.1474
ZH,2,4110,12301.2931
ZH,3,1221,7268.6524
ZH,4,2411,5591.5524
ZH,5,2412,4265.3955
BE,1,4110,6863.5182
BE,2,2512,6233.1799
BE,3,1221,2854.4018
BE,4,2142,2292.3923
BE,5,2423,1771.7726
Unknown,1,2512,5132.0282
Unknown,2,1221,3129.6089
Unknown,3,4110,3074.0045
Unknown,4,2411,2198.142
Unknown,5,2423,938.9115
VD,1,4110,3859.6203
VD,2,2512,2912.6425
VD,3,1221,1604.7048
VD,4,2423,1286.4785
VD,5,4312,1058.1032
AG,1,4110,4710.606
AG,2,2512,3360.6725
AG,3,1221,1583.5563
AG,4,2412,612.6369
AG,5,2423,581.4952
